Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",0.232,0.221,0.225,0.225,0.222,0.212,0.223,0.219,0.226,0.223,0.222,0.226
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,15.188,15.539,15.314,15.58,15.635,15.616,15.735,15.63,15.503,15.153,15.195,15.436
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",0.082,0.085,0.086,0.087,0.088,0.1,0.1,0.101,0.105,0.102,0.108,0.113
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",0.111,0.109,0.097,0.1,0.101,0.095,0.093,0.093,0.095,0.096,0.098,0.102
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,7.904,7.934,8.036,8.269,8.401,8.409,8.373,8.284,8.312,8.215,8.283,8.52
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",1.318,1.31,1.286,1.273,1.265,1.273,1.252,1.233,1.191,1.176,1.224,1.207
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),5.153,5.475,5.21,5.251,5.199,5.171,5.341,5.346,5.24,5.015,4.896,4.878
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",0.558,0.564,0.539,0.539,0.519,0.509,0.516,0.516,0.505,0.494,0.531,0.559
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,0.011,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,0.051,0.049,0.05,0.05,0.049,0.05,0.049,0.047,0.044,0.044,0.046,0.047
Estructura porcentual|Total cultura|Gestión pública en actividades culturales,7.857,8.12,8.078,8.192,8.472,8.04,8.022,7.85,7.663,7.451,7.408,7.297
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración federal,4.174,4.289,4.288,4.312,4.649,4.295,4.161,4.02,3.903,3.817,3.812,3.688
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración estatal,3.683,3.831,3.79,3.88,3.822,3.745,3.861,3.83,3.76,3.634,3.596,3.609
Estructura porcentual|Total cultura|Asociaciones y organizaciones civiles,0.102,0.106,0.101,0.1,0.097,0.095,0.102,0.1,0.097,0.094,0.1,0.103
Estructura porcentual|Total cultura|Producción cultural de los hogares,17.676,17.968,18.356,18.467,18.358,18.099,18.194,17.826,18.184,18.221,18.314,18.62
Variación anual|Total cultura,NA,-3.382,1.096,1.064,2.467,1.765,0.176,2.409,2.129,2.17,0.722,-1.565
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,-4.108,0.63,0.754,2.233,2.729,0.062,3.162,1.899,2.416,0.645,-1.827
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,-4.856,0.887,0.195,2.095,3.065,-0.205,3.563,2.015,3.108,0.528,-2.328
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,-7.458,1.789,-0.615,2.769,4.748,0.156,5.169,2.537,4.684,-0.517,-3.64
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,-7.002,4.316,-0.286,3.757,2.305,0.051,5.669,2.784,5.034,-0.797,-3.762
