Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,-1.215,-8.406,-0.895,2.089,0.442,-0.551,-4.042,-8.309,-13.405,-5.087,-3.369
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",NA,0.781,-4.581,-2.733,7.517,-7.133,1.217,-1.803,3.29,-4.889,-1.09,-1.024
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,NA,-6.944,4.879,5.473,-2.449,0.199,1.344,0.982,1.021,-6.065,0.7,-11.807
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,NA,-1.514,-1.111,2.425,1.505,0.645,0.995,0.855,0.164,-0.461,0.653,-0.341
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,NA,-5.733,0.149,4.713,-1.926,-6.119,5.021,2.013,0.946,1.242,2.172,-0.925
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,NA,-3.594,0.65,2.929,-3.598,-1.736,3.224,0.214,-0.342,1.157,1.864,-2.121
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",NA,-7.704,-0.334,6.449,-0.354,-10.107,6.807,3.742,2.14,1.319,2.451,0.15
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,NA,-1.368,-1.153,2.349,1.623,0.867,0.871,0.818,0.139,-0.516,0.603,-0.321
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",NA,0,2.228,2.785,3.534,16.041,0.686,2.921,4.447,-0.906,8.592,2.862
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",NA,-5.752,-10.094,4.047,3.89,-5.435,-1.533,1.686,4.082,3.554,4.497,2.605
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,NA,-3.362,2.526,3.252,2.68,1.011,-0.621,0.339,1.528,0.252,1,0.669
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",NA,-4.212,-0.64,0.163,2.001,2.717,-1.667,0.652,-1.466,1.391,4.415,-2.739
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),NA,2.177,-5.349,1.855,0.349,0.141,3.629,1.264,-1.327,-2.473,-2.003,-1.544
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",NA,-2.757,-3.804,1.287,-0.902,-0.502,1.195,2.935,0.179,3.079,7.727,3.191
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,NA,-1.064,0,2.151,1.053,1.042,0,-2.062,0,2.105,-2.062,-2.105
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,NA,-5.69,1.645,1.978,0,2.646,-1.546,-2.443,-3.757,1.673,5.484,0.173
Variación anual|Total cultura|Gestión pública en actividades culturales,NA,-0.142,0.565,2.491,5.967,-3.425,-0.048,0.219,-0.304,-0.655,0.142,-3.044
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración federal,NA,-0.729,1.077,1.624,10.488,-5.995,-2.957,-1.045,-0.852,-0.076,0.594,-4.771
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración estatal,NA,0.523,-0.008,3.472,0.942,-0.298,3.288,1.581,0.271,-1.257,-0.332,-1.212
Variación anual|Total cultura|Asociaciones y organizaciones civiles,NA,-0.55,-3.782,-0.096,-1.248,-0.583,9.189,1.164,-2.389,-0.272,8.909,1.503
Variación anual|Total cultura|Producción cultural de los hogares,NA,-22.597,16.853,27.551,21.784,7.185,-21.861,4.214,1.921,1.967,2.467,2.453
